epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,177.059,0.67905,0.7924,1.30227,1,0.82958,0.98591,0.80915,0.7042,1.51216,1.46508,0.000973861,0.000973861,0.000973861
44,181.144,0.66165,0.7913,1.28013,1,0.93715,0.995,0.82345,0.68663,1.72986,1.49134,0.000957358,0.000957358,0.000957358
45,185.365,0.6669,0.77985,1.27645,0.92878,0.65221,0.96313,0.80622,0.67288,2.35248,1.44476,0.000940855,0.000940855,0.000940855
46,189.487,0.65457,0.72112,1.25842,1,0.57315,0.995,0.84346,0.65106,2.48559,1.39414,0.000924352,0.000924352,0.000924352
47,193.404,0.65003,0.74452,1.26623,1,0.73149,0.96048,0.80627,0.63639,2.38582,1.42024,0.000907848,0.000907848,0.000907848
48,197.57,0.65863,0.75382,1.28145,1,0.51264,0.96133,0.80302,0.66003,2.87802,1.47584,0.000891345,0.000891345,0.000891345
49,201.54,0.64123,0.71131,1.25173,1,0.79309,0.99262,0.82249,0.62752,1.88651,1.3933,0.000874842,0.000874842,0.000874842
50,205.428,0.62874,0.709,1.25149,1,0.80348,0.98786,0.81873,0.70557,1.71282,1.51586,0.000858338,0.000858338,0.000858338
51,209.663,0.64998,0.76279,1.28887,0.93877,0.76726,0.95065,0.71799,0.67826,1.97596,1.4343,0.000841835,0.000841835,0.000841835
52,213.855,0.6794,0.76096,1.29219,0.92089,1,0.97833,0.8244,0.68348,1.03854,1.45076,0.000825332,0.000825332,0.000825332
53,217.856,0.66362,0.69841,1.28846,1,0.83026,0.995,0.83937,0.72256,1.5662,1.47564,0.000808828,0.000808828,0.000808828
54,221.934,0.62712,0.72556,1.24352,1,0.97948,0.995,0.83487,0.66956,1.33763,1.45731,0.000792325,0.000792325,0.000792325
55,226.043,0.64301,0.68889,1.27088,1,0.72901,0.99024,0.81333,0.71905,2.06872,1.6216,0.000775822,0.000775822,0.000775822
56,229.928,0.60837,0.67894,1.22591,0.39216,1,0.89037,0.74861,0.62047,3.92558,1.39712,0.000759318,0.000759318,0.000759318
57,233.952,0.61557,0.67728,1.2441,0.98769,0.75,0.95773,0.83025,0.63335,3.20022,1.41677,0.000742815,0.000742815,0.000742815
58,237.967,0.63243,0.63702,1.25397,1,0.68227,0.98591,0.85748,0.61972,2.41753,1.39961,0.000726312,0.000726312,0.000726312
59,242.174,0.59512,0.67368,1.20953,1,0.90512,0.995,0.81526,0.67131,1.64163,1.45619,0.000709809,0.000709809,0.000709809
